song,artist,genre,energy,danceability,loudness,is_new_artist
antar mantar jantar,lata mangeshkar,Pop,0.6926830948073653,0.7758041806563415,0.7175601876778709,False
kahan se yeh sholon ka toofan aaya,lata mangeshkar,Pop,0.0455157358267845,0.4227228419798549,0.5168320385611362,False
temptation,the platters,Pop,0.3223011569530499,0.3848153362937291,0.6564879624644258,False
unchained melody,harry belafonte,Pop,0.0426127422598183,0.3479909021986353,0.3850729431069404,False
on my word of honor,the platters,Pop,0.4113930284909798,0.4931224953969457,0.728661897802733,False
just my imagination (running away with me),pete yorn,Pop,0.8958926444950032,0.559189862449908,0.8073737917596082,False
don't you know i love you,the clovers,Pop,0.241217543530889,0.5776020794974548,0.5047560444068404,False
"love, your magic spell is everywhere",johnny mathis,Pop,0.3132918665728098,0.2570128885519332,0.631105299592339,False
heart of stone,the platters,Pop,0.1931679948362751,0.5039532113072674,0.6512832346229777,False
have mercy,the platters,Pop,0.1931679948362751,0.3469078306076032,0.6592569802322898,False
you've changed,the platters,Pop,0.3223011569530499,0.3501570453806997,0.6632053944568366,False
i do adore her,harry belafonte,Pop,0.2892670922255028,0.6664139499620926,0.5601363997641207,False
"ciao, ciao, bambina",jerry vale,Pop,0.2221979305059377,0.2656774612801906,0.5436504884239673,False
non dimenticar,jerry vale,Pop,0.2141896723901687,0.2310191703671613,0.5439325180114349,False
al di la,jerry vale,Pop,0.2912691567544451,0.2786743203725766,0.5927492756967412,False
matilda,harry belafonte,Pop,0.4344167705738156,0.5884327954077765,0.6609235187036895,False
devil or angel,the clovers,Pop,0.2392154790019467,0.6566663056428029,0.576263364356588,False
hosanna,harry belafonte,Pop,0.4083899316975664,0.611177298819452,0.6373612286234391,False
volare (nel blu dipinto di blu),jerry vale,Pop,0.2602371565558403,0.2591790317339976,0.5831602697228417,False
why should i,the platters,Pop,0.2912691567544451,0.5115347124444927,0.6927928620875317,False
in other words (fly me to the moon),johnny mathis,Pop,0.2462227048532446,0.1909455214989711,0.5912878496525907,False
i'll never be free,lavern baker,Pop,0.3012794793991563,0.7487273908805373,0.6804604773991744,False
remember when,the platters,Pop,0.200175220687573,0.45521498971082,0.619336974078917,False
love love love,the clovers,Pop,0.5245096743762168,0.5743528647243584,0.5311899084685793,False
it might as well be spring,johnny mathis,Pop,0.2091845110678131,0.1779486624065851,0.5299079557982718,False
at your beck and call,the platters,Pop,0.2542309629690136,0.4584642044839164,0.6525908263466912,False
september in the rain,the platters,Pop,0.2352113499440623,0.2862558215098018,0.6633848678306796,False
